                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2889,                 5.2972,                 4.1275,                      0,                      0,                      0,                      0,                 5.0892,                 5.1734,                 4.1312,               0.003252,               0.003252,               0.003252
                      2,                 3.7271,                 4.3265,                 3.2704,                      0,                      0,                      0,                      0,                 5.1444,                 5.1977,                 4.1918,              0.0065788,              0.0065788,              0.0065788
                      3,                 2.5989,                 3.5011,                 2.4533,                0.09502,                 0.1355,                0.02466,                0.01225,                  2.526,                 32.169,                 2.7284,              0.0098991,              0.0098991,              0.0098991
                      4,                 2.1953,                 2.8684,                 2.0783,                0.14865,                0.54496,                0.13291,                0.05981,                 2.2374,                 7.6117,                 2.3187,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.0215,                 2.4681,                  1.925,                0.25649,                0.41748,                0.16392,                0.05629,                 2.4976,                 5.4077,                 2.4224,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.9644,                 2.2762,                 1.8249,                0.45188,                0.33718,                0.26929,                0.15365,                 1.8664,                 3.2593,                 1.9886,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.7614,                 2.1125,                 1.6545,                0.33643,                0.55609,                0.33112,                0.19856,                 1.8759,                 3.1842,                 1.9489,              0.0099505,              0.0099505,              0.0099505
                      8,                 1.6743,                 1.9911,                 1.5703,                0.43308,                 0.3654,                0.35665,                0.18266,                 1.8994,                 3.2506,                 1.8905,              0.0099406,              0.0099406,              0.0099406
                      9,                  1.667,                 1.8333,                 1.5464,                0.48981,                0.55304,                0.44402,                0.24946,                 1.7884,                 2.9923,                 1.8409,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.6019,                 1.6766,                 1.5113,                0.49213,                0.57004,                0.48822,                0.31706,                 1.5574,                 2.9976,                 1.6853,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.5621,                 1.6042,                 1.4663,                0.51633,                0.45491,                 0.4599,                0.30948,                 1.5973,                 2.8549,                 1.7055,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.4654,                 1.5939,                 1.4242,                0.53983,                0.59053,                0.48513,                 0.3106,                 1.5428,                 3.5455,                 1.6492,               0.009901,               0.009901,               0.009901
                     13,                 1.4906,                 1.4207,                 1.4083,                0.69677,                0.60381,                0.61058,                0.38397,                 1.5787,                 2.4792,                 1.6968,              0.0098911,              0.0098911,              0.0098911
